XRT Spectral Index (Gamma),XRT Column Density,XRT Early Flux,BAT T90,Redshift,,Log(XRT Spectral Index (Gamma)),Log(XRT Column Density),Log(XRT Early Flux),Log(BAT T900,Log(Redshift),,Norm(XRT Spectral Index (Gamma)),Norm(XRT Column Density),Norm(XRT Early Flux),Norm(BAT T90),Norm(Redshift)
1.90907,1.36895,205,10,1.613,,0.280821853,21.13638759,2.311753861,1,0.207634367,,0.051925935,0.024907302,3.34892E-12,0.008999899,0.26432117
1.89199,10.4926,62.1,25.9,1.77,,0.276918837,22.02088312,1.7930916,1.413299764,0.247973266,,0.04992405,0.024684463,1.01395E-12,0.023616691,0.290649316
1.96436,3.69049,109,48,1.46,,0.293221082,21.56708403,2.037426498,1.681241237,0.164352856,,0.058406275,0.025628661,1.78029E-12,0.043933112,0.238663805
1.93577,2.34655,1400,257,1.98,,0.286853755,21.37042981,3.146128036,2.409933123,0.29666519,,0.055055345,0.025255653,2.28751E-11,0.236065785,0.325865307
1.81612,1.311323,236,1088,0.847,,0.259144541,21.11770968,2.372912003,3.036628895,-0.07211659,,0.041031604,0.0236946,3.85546E-12,1,0.135866649
1.85684,0.314,96.8,34,0.5519,,0.268774483,20.49692965,1.985875357,1.531478917,-0.258139606,,0.045804247,0.024225867,1.58095E-12,0.031062981,0.086379796
2.02817,9.1618,2340,114.4,1.727,,0.307104354,21.96198081,3.369215857,2.058426024,0.237292338,,0.065885213,0.026461179,3.82345E-11,0.104974306,0.283438422
2.35636,4.49857,22000,428.8,4.5,,0.372241642,21.65307448,4.342422681,2.632254777,0.653212514,,0.104351169,0.030743017,3.59476E-10,0.39400068,0.748457204
1.91138,2.22759,131,2.9,0.8034,,0.281347037,21.34783526,2.117271296,0.462397998,-0.095068173,,0.052196682,0.02493744,2.13977E-12,0.002472904,0.128555138
1.89414,0.787196,618,174.5,1.44,,0.277412076,20.89608288,2.790988475,2.241795431,0.158362492,,0.050176044,0.024712513,1.00973E-11,0.16022394,0.235309901
1.90402,3.35678,2010,198.5,1.567,,0.279671506,21.52592288,3.303196057,2.297760511,0.195068996,,0.051334043,0.024841416,3.28424E-11,0.182287022,0.256607191
2.11575,3.36746,353,197.5,3.6,,0.32546435,21.52730245,2.547774705,2.2955671,0.556302501,,0.076150146,0.02760382,5.76722E-12,0.181367727,0.597531527
2.3024,19.2552,7490,63.6,0.542,,0.362180777,22.28454803,3.874481818,1.803457116,-0.266000713,,0.098026714,0.03003901,1.22385E-10,0.058274115,0.084719614
2.37643,12.8509,615,39,1.398,,0.375925026,22.10893354,2.788875116,1.591064607,0.145507171,,0.106703501,0.031004866,1.00483E-11,0.035659456,0.228266702
2.17077,0.342503,311,37,1.755,,0.336613811,20.53466438,2.492760389,1.568201724,0.244277121,,0.08259884,0.028321656,5.08095E-12,0.033820866,0.288133888
1.65736,2.00385,209,104,2.465,,0.219416853,21.30186521,2.320146286,2.017033339,0.391816924,,0.022423921,0.021623286,3.41428E-12,0.095413637,0.407197478
2.26662,4.16E-06,127,7,0.6235,,0.355378717,15.61909333,2.103803721,0.84509804,-0.205163542,,0.09383307,0.029572195,2.07441E-12,0.006242014,0.098386772
1.95801,2.79802,630,191,3.9,,0.291814906,21.44685081,2.799340549,2.281033367,0.591064607,,0.057662014,0.025545814,1.02934E-11,0.175392309,0.647840086
1.9307,0.000053533,196,17.9,4.813,,0.285714797,16.72862158,2.292256071,1.252853031,0.682415862,,0.054461109,0.025189505,3.20186E-12,0.01626233,0.800945801
2.11535,2.82219,180,39.2,2.752,,0.325382235,21.45058625,2.255272505,1.593286067,0.43964843,,0.076103263,0.027598601,2.94042E-12,0.035843315,0.455325999
1.49013,17.184,10,109.8,1.092,,0.173224158,22.23512426,1,2.04060234,0.038222638,,0.002823501,0.019441465,1.62647E-13,0.100745548,0.176951972
2.08587,5.08013,301,34.6,1.71,,0.319287238,21.70587483,2.478566496,1.539076099,0.23299611,,0.07264802,0.027213981,4.91755E-12,0.031614558,0.280587604
1.98015,1.55551,44,4.4,0.971,,0.29669809,21.19187281,1.643452676,0.643452676,-0.01278077,,0.060256963,0.025834671,7.18203E-13,0.003851846,0.156660853
1.56483,13.9441,315,109.7,1.24,,0.194467164,22.14439049,2.498310554,2.040206628,0.093421685,,0.011578817,0.020416063,5.14631E-12,0.100653619,0.201770861
1.78576,2.06E-09,165,80,0.696,,0.251823091,12.31386722,2.217483944,1.903089987,-0.15739076,,0.037473218,0.023298498,2.69533E-12,0.073350555,0.110544674
1.88559,5.99391,495,66.7,2.452,,0.275447266,21.77771022,2.694605199,1.824125834,0.389520466,,0.04917393,0.024600963,8.08748E-12,0.06112393,0.40501744
2.4288,10.6388,3800,67,2.71,,0.385391754,22.02689264,3.579783597,1.826074803,0.432969291,,0.112841598,0.031688129,6.20908E-11,0.061399719,0.448282801
2.02532,8.28035,419,266,3,,0.306493651,21.91804869,2.622214023,2.424881637,0.477121255,,0.065551175,0.026423996,6.84565E-12,0.244339441,0.496914408
1.82831,2.46604,31500,113.2,0.54,,0.262049835,21.39200012,4.498310554,2.053846427,-0.26760624,,0.042460349,0.023853641,5.14705E-10,0.103871152,0.084384223
2.03975,0.811758,64.2,48,1.266,,0.309576942,20.90942658,1.807535028,1.681241237,0.102433706,,0.067242462,0.026612261,1.04827E-12,0.043933112,0.206130936
2.22623,3.26E-08,148,100,2.625,,0.347570031,13.5132176,2.170261715,2,0.419129308,,0.089099105,0.029045233,2.41755E-12,0.091736456,0.434028709
1.46604,13.5112,57.7,64,3.9,,0.16614582,22.13069392,1.761175813,1.806179974,0.591064607,,0,0.019127167,9.42059E-13,0.058641833,0.647840086
2.09,1.57,1960,210,4.109,,0.320146286,21.19589965,3.292256071,2.322219295,0.613736141,,0.073132082,0.027267864,3.20254E-11,0.192858916,0.682888382
1.96315,4.26707,654,48,0.544,,0.292953484,21.63012977,2.815577748,1.681241237,-0.2644011,,0.058264455,0.025612875,1.06855E-11,0.043933112,0.085055004
2.03408,10.5599,105,56,1.608,,0.30836803,22.02365981,2.021189299,1.748188027,0.206286044,,0.066577902,0.026538286,1.71493E-12,0.051287473,0.263482694
2.25448,3.13819,81.3,9.1,1.7493,,0.353046387,21.49667923,1.910090546,0.959041392,0.242864296,,0.092410185,0.029413806,1.32768E-12,0.008172533,0.287178025
1.76997,5.29373,60.9,27,1.547,,0.247965905,21.72376179,1.784617293,1.431363764,0.189490314,,0.03562253,0.023092489,9.94346E-13,0.024627915,0.253253287
1.99296,2.97084,391,24,2.77,,0.299498582,21.47287926,2.592176757,1.380211242,0.442479769,,0.061758377,0.0260018,6.38814E-12,0.02187003,0.458344513
2.4947,3.74385,7360,34,2.26,,0.397018327,21.57331844,3.866877814,1.531478917,0.354108439,,0.120565497,0.032547914,1.20261E-10,0.031062981,0.372819962
2.03508,4.58954,1780,294,2.1,,0.308581486,21.66176916,3.250420002,2.46834733,0.322219295,,0.066695109,0.026551333,2.90842E-11,0.270079703,0.345988731
2.54386,5.01E-06,60.1,67,2.58,,0.405493206,15.69983773,1.778874472,1.826074803,0.411619706,,0.126327362,0.033189296,9.81275E-13,0.061399719,0.426482426
