GRB,BAT RA (J2000),BAT Dec (J2000),XRT Spectral Index (Gamma),XRT Column Density (NH),BAT Fluence,BAT T90,Redshift,Normalized XRT Spectral Index (Gamma),Normalized XRT Column Density (NH),Normalized BAT Fluence,Normalized BAT T90,Normalized Redshift,Log10 Scale XRT Spectral Index (Gamma),Log10 Scale XRT Column Density (NH),Log10 Scale BAT Fluence,Log10 Scale BAT T90,Log10 Scale Redshift
60218,50.38,16.91,3.52495,3.97852E+21,15.7,2100,0.0331,2.788563458,-0.206473407,-0.242105199,11.8858351,-1.432155684,0.547152961,21.59972155,1.195899652,3.322219295,-1.480172006
60210,57.727,27.015,2.08163,2.44198E+22,76.6,255,3.91,0.119679988,2.001930368,0.056102443,0.941006968,1.372320021,0.318403538,22.3877421,1.88422877,2.40654018,0.592176757
60206,202.933,35.046,2.20424,2.18607E+22,8.31,7.6,4.045,0.346401576,1.725454232,-0.278291644,-0.526608469,1.469976453,0.343258879,22.33966406,0.919601024,0.880813592,0.606918526
60124,77.097,69.727,2.00895,8.26541E+21,4.61,750,2.3,-0.014714637,0.256667064,-0.296409349,3.877424273,0.20767665,0.302969128,21.9172644,0.663700925,2.875061263,0.361727836
60123,179.75,45.513,1.82305,1.3486E+21,3,900,1.099,-0.358467538,-0.490600686,-0.304293,4.767247698,-0.661103902,0.26079858,21.12988316,0.477121255,2.954242509,0.040997692
60115,54.007,17.339,2.10553,2.71364E+21,17.1,139.6,3.53,0.163874148,-0.34312658,-0.235249851,0.256436146,1.09743525,0.323361434,21.43355223,1.23299611,2.144885418,0.547774705
60108,147.013,31.935,2.00568,7.62695E+20,3.69,14.3,2.03,-0.020761286,-0.553899795,-0.300914292,-0.486863022,0.012363787,0.302261644,20.8823509,0.567026366,1.155336037,0.307496038
051221A,328.715,16.888,2.0589,1.87909E+21,11.5,1.4,0.547,0.077649308,-0.433288418,-0.262671243,-0.563387837,-1.060410201,0.313635254,21.27394758,1.06069784,0.146128036,-0.262012674
051117B,85.205,-19.286,1.63498,3.44424E+21,1.77,9,0.481,-0.706233047,-0.264194917,-0.310315913,-0.51830345,-1.108153345,0.213512444,21.53709366,0.247973266,0.954242509,-0.317854924
51111,348.136,18.367,2.23019,6.19392E+21,40.8,46.1,1.549,0.394386448,0.032870593,-0.119198601,-0.298220456,-0.335582463,0.348341864,21.79196559,1.610660163,1.663700925,0.190051418
051109B,345.469,38.663,2.12549,2.33036E+21,2.56,14.3,0.08,0.200782744,-0.384534799,-0.306447538,-0.486863022,-1.398229117,0.327459066,21.36742302,0.408239965,1.155336037,-1.096910013
051109A,330.316,40.85,2.06584,9.34485E+21,22,37.2,2.346,0.090482257,0.373285954,-0.211256133,-0.351016646,0.240952175,0.315096682,21.97057233,1.342422681,1.57054294,0.370328008
051016B,132.123,13.629,1.89482,5.18403E+21,1.7,4,0.9364,-0.225755619,-0.07623436,-0.31065868,-0.547964231,-0.778725649,0.27756796,21.71466751,0.230448921,0.602059991,-0.028538595
51006,110.807,9.51,2.24489,6.23912E+21,13.4,34.8,1.059,0.421568631,0.037753842,-0.253367557,-0.365253821,-0.690039141,0.351195065,21.79512334,1.127104798,1.541579244,0.02489596
51001,350.984,-31.515,2.34019,1.67983E+21,17.4,189.1,2.4296,0.597790532,-0.454815765,-0.233780848,0.550077876,0.301426824,0.369251119,21.22526533,1.240549248,2.276691529,0.385534779
050922C,317.383,-8.764,2.2119,2.8139E+21,16.2,4.5,2.198,0.360565897,-0.332294843,-0.239656861,-0.544998153,0.13389179,0.344765489,21.44930866,1.209515015,0.653212514,0.342027688
050915A,81.688,-28.014,2.2121,1.06087E+21,8.5,52,2.5273,0.360935722,-0.521686128,-0.277361275,-0.263220735,0.372101146,0.344804756,21.02566176,0.929418926,1.716003344,0.402656797
50908,20.457,-12.95,2.74883,3.85E+14,4.83,19.4,3.35,1.35341821,-0.63629863,-0.29533208,-0.456609026,0.967226675,0.439147882,14.58546073,0.683947131,1.28780173,0.525044807
50826,87.761,-2.658,2.45742,9.1381E+21,4.13,35.5,0.297,0.814563811,0.350949413,-0.298759754,-0.361101312,-1.241255445,0.390479389,21.96085591,0.615950052,1.550228353,-0.527243551
50824,12.264,22.602,1.94709,9.35034E+20,2.66,22.6,0.83,-0.129101697,-0.535280897,-0.30595787,-0.437626126,-0.855693385,0.289386026,20.9708274,0.424881637,1.354108439,-0.080921908
050820A,337.416,19.56,1.96878,4.16529E+21,34.4,26,2.6147,-0.08899411,-0.186295435,-0.150537335,-0.417456795,0.435324643,0.294197189,21.61964524,1.536558443,1.414973348,0.417421867
50819,358.751,24.871,2.17698,8.56984E+20,3.5,37.7,2.5043,0.295994346,-0.543713144,-0.301844661,-0.348050568,0.355463383,0.337854439,20.93297271,0.544068044,1.57634135,0.398686354
50814,264.196,46.324,1.97267,4.41596E+20,20.1,150.9,5.3,-0.081801002,-0.588590198,-0.220559819,0.323469511,2.377819578,0.29505444,20.64502513,1.303196057,2.17868924,0.72427587
50813,242.001,11.244,2.30189,1.12103E+21,0.44,0.45,1.8,0.526968928,-0.515186113,-0.316828493,-0.569023385,-0.154013838,0.362084566,21.04961878,-0.356547324,-0.346787486,0.255272505
50803,350.65,5.788,2.11696,2.22616E+21,21.5,87.9,0.422,0.185009682,-0.395792199,-0.213704471,-0.050256328,-1.150832823,0.325712652,21.34755638,1.33243846,1.943988875,-0.374687549
50802,219.283,27.799,1.8557,1.81483E+21,20,19,1.71,-0.298093508,-0.440230841,-0.221049487,-0.458981888,-0.219118126,0.268507768,21.25883595,1.301029996,1.278753601,0.23299611
50730,212.069,-3.754,1.6177,5.4765E+21,23.8,156.5,3.968,-0.738185979,-0.044636933,-0.202442114,0.356689585,1.414276118,0.208897985,21.73850309,1.376576957,2.194514342,0.598571663
50724,246.175,-27.526,1.80056,1.43376E+21,9.98,96,0.257,-0.400054427,-0.4814003,-0.270114193,-0.002205863,-1.270190684,0.255407598,21.15647646,0.999130541,1.982271233,-0.590066877
050525A,278.142,26.335,2.08914,1.90021E+21,153,8.8,0.606,0.13356694,-0.431006687,0.430208581,-0.519489881,-1.017730723,0.319967544,21.2788016,2.184691431,0.944482672,-0.217527376
050509B,189.046,28.974,1.88486,7.66623E+20,0.09,0.073,0.225,-0.244172934,-0.553475427,-0.31854233,-0.571259808,-1.293338875,0.275279098,20.88458184,-1.045757491,-1.13667714,-0.647817482
50505,141.76,30.266,2.01835,1.70071E+22,24.9,58.9,4.27,0.002667166,1.201088412,-0.197055769,-0.222288857,1.632737173,0.304996479,22.23063027,1.396199347,1.770115295,0.630427875
050416A,188.485,21.058,2.06183,5.64454E+21,3.67,2.5,0.6535,0.083067253,-0.026482484,-0.301012226,-0.556862465,-0.983370127,0.314252854,21.75162856,0.564666064,0.397940009,-0.184754408
50406,34.41,-50.18,2.32091,1.86E+20,0.68,5.4,2.44,0.562139343,-0.616203887,-0.315653291,-0.539659212,0.308949987,0.3656583,20.26951297,-0.167491087,0.73239376,0.387389826
50401,247.873,2.185,1.78711,1.33568E+22,82.2,33.3,2.9,-0.424925199,0.806722878,0.083523835,-0.374152055,0.641705236,0.252151285,22.12570242,1.914871818,1.522444234,0.462397998
50319,154.172,43.581,2.01045,8.65674E+20,13.1,152.5,3.24,-0.011940945,-0.542774307,-0.25483656,0.33296096,0.887654767,0.303293277,20.93735437,1.117271296,2.183269844,0.51054501
50318,49.695,-46.386,1.98053,8.44534E+20,10.8,32,1.44,-0.067266856,-0.545058198,-0.266098917,-0.381863858,-0.414430989,0.296781425,20.92661714,1.033423755,1.505149978,0.158362492
50315,306.476,-42.591,1.99544,8.2573E+21,32.2,95.6,1.949,-0.039696357,0.255790889,-0.161310025,-0.004578726,-0.046230073,0.300038674,21.91683806,1.507855872,1.980457892,0.289811839
50223,271.394,-62.465,1.79783,1.31696E+18,6.36,22.5,0.5915,-0.405102547,-0.636156392,-0.287840164,-0.438219342,-1.028219747,0.254748623,18.11957258,0.803457116,1.352182518,-0.228045251
50126,278.115,42.384,2.25175,5.54E+13,8.38,24.8,1.29,0.434253649,-0.636298666,-0.277948876,-0.424575383,-0.522938136,0.352520171,13.74350976,0.923244019,1.394451681,0.11058971
